event-id,visible,timestamp,location-long,location-lat,activity-x,activity-y,activity-z,external-temperature,gps:satellite-count,gps-time-to-fix,ground-speed,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29449189398,TRUE,08:00.0,-90.4528,-1.295,,,,27.7,6,24,0.1,3770,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189381,TRUE,09:00.0,-90.459267,-1.298167,,,,29.8,6,65,0,3760,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188302,TRUE,10:00.0,-90.456233,-1.296617,,,,28.2,5,4,0.1,3770,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187217,TRUE,10:00.0,-90.4556,-1.295817,,,,29,4,34,0,3760,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188273,TRUE,11:00.0,-90.455383,-1.2959,,,,30.1,5,40,0.4,3760,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187215,TRUE,12:00.0,-90.456,-1.295783,,,,28.8,4,10,6.8,3760,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188237,TRUE,13:00.0,-90.456183,-1.295367,,,,28.6,5,38,0,3750,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188238,TRUE,13:00.0,-90.45605,-1.2958,,,,31.4,5,36,0.1,3750,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188239,TRUE,14:00.0,-90.455917,-1.295467,,,,36.1,5,8,0.2,3750,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187216,TRUE,14:00.0,-90.455883,-1.29535,,,,34.8,4,18,0.2,3760,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189483,TRUE,02:00.0,-90.455717,-1.295,,,,31.8,6,45,0.2,3790,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188388,TRUE,02:00.0,-90.4557,-1.2949,,,,32.2,5,13,0.2,3790,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187316,TRUE,02:00.0,-90.45605,-1.2953,,,,29.8,4,11,0,3790,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188347,TRUE,03:00.0,-90.457367,-1.29615,,,,30.6,5,52,2.2,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189445,TRUE,04:00.0,-90.455883,-1.296633,,,,30.1,6,26,0.1,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
